ID,Y_INDEX,X_INDEX,NormPop,COUNT,Longitude,Latitude,Code,N_Abund_0,DistBreed,RoostShoreline,HumanDisturb,ForageShoreline,ForageCrops,ForageWoodyWetlands,ForageHerbWetlands,GammaMoveProb
11666,100,100,0.0015462744668,1296,794071.224786,1642583.43487,100_100,4426,0,0.0426802787737291,0,1308178458,0,9470955731.99995,80923738.406206,2.37774651077862e-06
11837,101,100,0.0015462744668,227,794071.224786,1674770.31487,100_101,325,0,0.00517488919327143,0,158613876,0,257983627.955242,316901635.684414,2.39041421626096e-06
12008,102,100,0,0,794071.224786,1706957.19487,100_102,0,32.1869,0.00594148822397034,0,33277500,0,0,0,2.41087961148576e-06
15049,121,100,0,0,794071.224786,2318507.91487,100_121,0,624.956552423423,0.00140398976894584,0,34954686,0,0,0,4.56606222006272e-06
15196,122,100,0,0,794071.224786,2350694.79487,100_122,0,651.735051965214,0,0,0,0,0,0,4.80629679320777e-06
15340,123,100,0,0,794071.224786,2382881.67487,100_123,0,678.983399330536,0,0,0,0,0,0,5.06431938860405e-06
15484,124,100,0,0,794071.224786,2415068.55487,100_124,0,706.647244554184,0,0,0,0,0,0,5.34115825568755e-06
15624,125,100,0,0,794071.224786,2447255.43487,100_125,0,734.679653297143,0,0,0,0,0,0,5.63826572383417e-06
15764,126,100,0,0,794071.224786,2479442.31487,100_126,0,753.476011112683,0,0,0,0,0,0,5.95765711729861e-06
15905,127,100,0,0,794071.224786,2511629.19487,100_127,0,765.073879020615,0,0,0,0,0,0,6.30033973169467e-06
16046,128,100,0,0,794071.224786,2543816.07487,100_128,0,777.831584894982,0,0,0,0,0,0,6.66751167354275e-06
16187,129,100,0,0,794071.224786,2576002.95487,100_129,0,791.693060234868,0,0,0,0,0,0,7.06074415450789e-06
16326,130,100,0,94,794071.224786,2608189.83487,100_130,0,806.601402088467,0.00365565778541693,0,110694276,0,0,125439068.575241,7.48173853827164e-06
16466,131,100,0,247,794071.224786,2640376.71487,100_131,0,822.499687015947,0.00590924372683174,0,180151074,0,0,82102152.406597,7.9324905305509e-06
16607,132,100,0,0,794071.224786,2672563.59487,100_132,0,839.331663584069,8.77256982444438e-05,0,2688822,0,0,0,8.41469255576149e-06
16749,133,100,0,0,794071.224786,2704750.47487,100_133,0,857.042321540477,0,0,0,0,0,0,8.93042944988455e-06
16892,134,100,0,0,794071.224786,2736937.35487,100_134,0,875.578342235234,0,0,0,0,0,0,9.48194249180735e-06
17053,135,100,0,0,794071.224786,2769124.23487,100_135,0,894.888439379194,0.00233805952255444,0,66714732,0,0,0,1.00716286146874e-05
17216,136,100,0,0,794071.224786,2801311.11487,100_136,0,914.923602024169,0.000690316498027092,0,20525562,0,0,0,1.07020574566556e-05
17387,137,100,0,0,794071.224786,2833497.99487,100_137,0,935.637253004844,0,0,0,0,0,0,1.1375815897157e-05
17563,138,100,0,0,794071.224786,2865684.87487,100_138,0,956.985336326132,0,0,0,0,0,0,1.20960408065128e-05
17740,139,100,0,0,794071.224786,2897871.75487,100_139,0,978.926346432279,0.00373441007904593,0,36046188,0,0,0,1.28660761158899e-05
19027,146,100,0,0,794071.224786,3123179.91487,100_146,0,1141.61448692866,0.0107601427810214,0,49996116,0,0,0,1.99596953527835e-05
19217,147,100,0,0,794071.224786,3155366.79487,100_147,0,1166.30332504196,0.000326579109880842,0,10009872,0,0,1397412,2.12707600390617e-05
19411,148,100,0,0,794071.224786,3187553.67487,100_148,0,1191.35017870721,0,0,0,0,0,0,2.26722439114131e-05
19607,149,100,0,0,794071.224786,3219740.55487,100_149,0,1216.73293851637,0,0,0,0,0,0,2.41705646454674e-05
19804,150,100,0,0,794071.224786,3251927.43487,100_150,0,1242.43101703833,0.00200003301531476,0,61283844,0,0,0,2.57723340550924e-05
20003,151,100,0,166,794071.224786,3284114.31487,100_151,0,1268.42524950835,0.00292444644406595,0,89636274,0,0,78220567.9955898,2.74848174362508e-05
20203,152,100,0,157,794071.224786,3316301.19487,100_152,0,1294.69779799959,0.00837032681362148,0,256556214,0,0,84396784,2.93158818138309e-05
20404,153,100,0,195,794071.224786,3348488.07487,100_153,0,1321.23205976954,0.0140055778887482,0,428880420,0,0,39947006,3.12737778280923e-05
20605,154,100,0,1242,794071.224786,3380674.95487,100_154,0,1348.01258022466,0.0136798905608755,0,419296500,0,0,132283124.138809,3.33675233480872e-05
