iteration	shoreline	crops	herbaceous_wet	woody_wet	energy_tank	flight_cost_(kcal_per_hour)	flight_speed_(km_per_hour)	km_per_kcal	range_(km)
1	26622	106602	8626	11389	1091	43	88	2.046511627906980	2232.744186046510000
2	29391	47282	26910	21723	912	53	90	1.698113207547170	1548.679245283020000
3	29276	102211	4543	25984	1085	39	74	1.897435897435900	2058.717948717950000
4	13337	101433	28727	3648	1186	53	110	2.075471698113210	2461.509433962260000
5	37133	89924	37256	12646	1105	45	101	2.244444444444440	2480.111111111110000
6	20603	50695	46718	8555	927	40	103	2.575000000000000	2387.025000000000000
7	18375	98832	46090	3659	1355	53	79	1.490566037735850	2019.716981132080000
8	43580	98893	32402	6315	1146	41	93	2.268292682926830	2599.463414634150000
9	37708	94817	14618	39934	1164	46	67	1.456521739130430	1695.391304347830000
10	48739	78408	45255	12605	1044	43	112	2.604651162790700	2719.255813953490000
11	9038	83182	44913	26091	974	39	57	1.461538461538460	1423.538461538460000
12	33586	75847	4869	34163	1369	41	52	1.268292682926830	1736.292682926830000
13	22041	47025	35445	10200	1037	57	89	1.561403508771930	1619.175438596490000
14	38986	79068	32743	12924	1443	54	59	1.092592592592590	1576.611111111110000
15	11644	76570	40378	20912	1135	50	45	0.900000000000000	1021.500000000000000
16	10654	94243	8727	38982	1209	50	122	2.440000000000000	2949.960000000000000
17	16539	73651	13109	7512	1253	39	95	2.435897435897440	3052.179487179490000
18	31360	57008	29348	26578	1017	43	76	1.767441860465120	1797.488372093020000
19	22489	69447	23953	42799	1132	43	89	2.069767441860470	2342.976744186050000
20	47086	75111	11113	5318	1309	52	89	1.711538461538460	2240.403846153850000
21	10102	56695	35030	38007	1395	51	44	0.862745098039216	1203.529411764710000
22	48265	88582	3593	21750	966	58	118	2.034482758620690	1965.310344827590000
23	33414	68710	28242	12991	1206	50	109	2.180000000000000	2629.080000000000000
24	35611	69138	31354	45765	1297	50	59	1.180000000000000	1530.460000000000000
25	28171	103404	17323	28967	1426	56	92	1.642857142857140	2342.714285714290000
26	29483	78113	28487	3175	1459	41	86	2.097560975609760	3060.341463414630000
27	43776	84538	20777	8392	1265	45	85	1.888888888888890	2389.444444444440000
28	15599	99996	20827	44126	889	45	102	2.266666666666670	2015.066666666670000
29	18901	73650	42485	10323	1164	58	114	1.965517241379310	2287.862068965520000
30	45434	72072	15212	17445	1178	55	49	0.890909090909091	1049.490909090910000
31	32367	109771	7488	46622	1173	43	82	1.906976744186050	2236.883720930230000
32	34419	67840	24305	19754	1372	40	62	1.550000000000000	2126.600000000000000
33	44406	58974	4523	26808	1231	53	69	1.301886792452830	1602.622641509430000
34	33612	92634	40137	36893	1211	46	102	2.217391304347830	2685.260869565220000
35	9163	97935	14252	8102	995	43	86	2.000000000000000	1990.000000000000000
36	33289	84280	10247	29184	1326	38	105	2.763157894736840	3663.947368421050000
37	39219	58224	40159	29452	1231	54	53	0.981481481481482	1208.203703703700000
38	22797	50798	18768	43866	965	41	45	1.097560975609760	1059.146341463410000
39	21342	90145	26272	43436	882	57	92	1.614035087719300	1423.578947368420000
40	26596	57902	19538	9847	1237	55	57	1.036363636363640	1281.981818181820000
41	38693	79015	32754	47427	896	41	73	1.780487804878050	1595.317073170730000
42	7495	70594	9931	20003	1255	57	54	0.947368421052632	1188.947368421050000
43	38528	67956	30623	10288	1415	51	111	2.176470588235290	3079.705882352940000
44	27500	96274	25733	16268	1114	49	103	2.102040816326530	2341.673469387760000
45	23117	49511	20354	6216	993	41	56	1.365853658536590	1356.292682926830000
46	9539	99955	22626	28620	1135	43	103	2.395348837209300	2718.720930232560000
47	43521	73645	10085	31436	1181	45	49	1.088888888888890	1285.977777777780000
48	6229	80958	23812	36147	1219	53	88	1.660377358490570	2024.000000000000000
49	39359	79740	25003	28115	1060	40	105	2.625000000000000	2782.500000000000000
50	8544	46300	37429	15963	1080	41	86	2.097560975609760	2265.365853658540000
51	16186	59556	13499	28870	953	48	67	1.395833333333330	1330.229166666670000
52	42554	101585	33437	7855	1031	57	65	1.140350877192980	1175.701754385960000
53	9936	65872	16522	26120	943	48	44	0.916666666666667	864.416666666667000
54	45899	89877	3345	22718	1264	38	57	1.500000000000000	1896.000000000000000
55	42926	105634	3674	47270	1292	57	59	1.035087719298250	1337.333333333330000
56	14195	74798	26939	14297	1361	49	94	1.918367346938780	2610.897959183670000
57	45187	107412	46232	9128	996	39	54	1.384615384615380	1379.076923076920000
58	25203	48039	31009	32222	1321	54	72	1.333333333333330	1761.333333333330000
59	24073	62275	28010	23031	989	56	54	0.964285714285714	953.678571428571000
60	3962	96395	9413	18664	1338	50	100	2.000000000000000	2676.000000000000000
61	13126	80572	23139	10714	1329	53	104	1.962264150943400	2607.849056603770000
62	32228	92150	39553	6982	1420	57	95	1.666666666666670	2366.666666666670000
63	41706	64453	26907	14808	924	44	85	1.931818181818180	1785.000000000000000
64	7219	100457	49086	24124	1451	57	98	1.719298245614040	2494.701754385970000
65	35539	53099	27994	23431	994	44	65	1.477272727272730	1468.409090909090000
66	37548	44449	48556	38751	1322	47	90	1.914893617021280	2531.489361702130000
67	19550	106412	48793	4108	1159	52	84	1.615384615384620	1872.230769230770000
68	43678	91096	3745	40672	1318	58	103	1.775862068965520	2340.586206896550000
69	24188	105895	6483	19047	1291	55	90	1.636363636363640	2112.545454545450000
70	35419	78370	36816	46771	1343	55	121	2.200000000000000	2954.600000000000000
71	46957	105640	47996	24169	1190	45	51	1.133333333333330	1348.666666666670000
72	21089	106424	19162	43857	1403	52	70	1.346153846153850	1888.653846153850000
73	48946	83750	26212	46396	1195	54	43	0.796296296296296	951.574074074074000
74	39163	54257	39867	15177	1096	43	53	1.232558139534880	1350.883720930230000
75	49221	57172	38008	45602	1288	46	112	2.434782608695650	3136.000000000000000
76	13386	58887	20018	17396	1141	39	115	2.948717948717950	3364.487179487180000
77	43763	56633	24107	13493	1447	56	58	1.035714285714290	1498.678571428570000
78	24990	94448	29073	10689	1196	49	87	1.775510204081630	2123.510204081630000
79	19605	102358	14981	4448	1353	47	75	1.595744680851060	2159.042553191490000
80	44671	110577	48759	47939	1324	50	105	2.100000000000000	2780.400000000000000
81	9350	62965	22057	12057	1302	45	107	2.377777777777780	3095.866666666670000
82	19588	64248	48785	32405	1275	54	45	0.833333333333333	1062.500000000000000
83	45748	96253	45480	26419	1057	52	80	1.538461538461540	1626.153846153850000
84	48960	48843	43190	47269	1301	47	93	1.978723404255320	2574.319148936170000
85	27823	81502	47092	15997	1163	40	111	2.775000000000000	3227.325000000000000
86	42647	50683	38934	8370	1295	48	119	2.479166666666670	3210.520833333330000
87	10506	99505	32316	25802	1165	55	95	1.727272727272730	2012.272727272730000
88	40221	55509	35996	12246	1344	38	62	1.631578947368420	2192.842105263160000
89	29074	49345	25436	44590	1342	46	64	1.391304347826090	1867.130434782610000
90	11106	68391	14416	25435	1445	51	70	1.372549019607840	1983.333333333330000
91	9635	106686	34051	19142	1328	53	65	1.226415094339620	1628.679245283020000
92	28315	97589	26661	48590	899	53	59	1.113207547169810	1000.773584905660000
93	18551	78045	38491	22943	1442	58	113	1.948275862068970	2809.413793103450000
94	3954	98770	18768	44020	1017	39	57	1.461538461538460	1486.384615384620000
95	33606	94600	22246	24394	1083	56	79	1.410714285714290	1527.803571428570000
96	34066	110087	7449	34995	1033	43	90	2.093023255813950	2162.093023255810000
97	42794	105700	13423	25542	946	42	96	2.285714285714290	2162.285714285710000
98	45450	56309	17613	48127	1149	56	87	1.553571428571430	1785.053571428570000
99	31197	86142	43872	24141	1022	45	82	1.822222222222220	1862.311111111110000
100	38236	84200	20459	24635	1000	52	94	1.807692307692310	1807.692307692310000
101	43587	71945	46624	35304	882	48	107	2.229166666666670	1966.125000000000000
102	26543	73692	28511	9369	1274	44	99	2.250000000000000	2866.500000000000000
103	7946	72284	3107	19545	1430	45	111	2.466666666666670	3527.333333333330000
104	47314	61521	15544	45809	896	49	51	1.040816326530610	932.571428571429000
105	44856	67333	47567	45563	1210	57	105	1.842105263157890	2228.947368421050000
106	25164	60743	15405	31767	1074	50	95	1.900000000000000	2040.600000000000000
107	28670	55344	19236	17413	954	39	51	1.307692307692310	1247.538461538460000
108	35877	90594	4779	29621	1080	55	75	1.363636363636360	1472.727272727270000
109	23047	90377	31497	44517	1047	40	74	1.850000000000000	1936.950000000000000
110	6741	60377	44372	39357	1212	53	41	0.773584905660377	937.584905660377000
111	32125	77722	30585	14627	1373	48	65	1.354166666666670	1859.270833333330000
112	36180	89982	12050	39407	1264	51	66	1.294117647058820	1635.764705882350000
113	21874	103013	39455	3904	1449	50	62	1.240000000000000	1796.760000000000000
114	39644	91256	38931	45477	1207	42	83	1.976190476190480	2385.261904761910000
115	5306	78261	42232	23334	1349	38	61	1.605263157894740	2165.500000000000000
116	46082	107372	38135	25172	1425	38	106	2.789473684210530	3975.000000000000000
117	45253	66965	5566	34726	1293	58	99	1.706896551724140	2207.017241379310000
118	12224	89988	42202	33783	1358	57	52	0.912280701754386	1238.877192982460000
119	45465	62086	40453	43886	1102	48	69	1.437500000000000	1584.125000000000000
120	12946	51977	38895	40130	920	43	74	1.720930232558140	1583.255813953490000
121	47685	82734	39768	46526	1161	38	75	1.973684210526320	2291.447368421050000
122	19026	78501	25581	15001	1300	51	67	1.313725490196080	1707.843137254900000
123	48787	110499	4757	17030	974	58	42	0.724137931034483	705.310344827586000
124	17145	90694	27753	36732	960	50	94	1.880000000000000	1804.800000000000000
125	9916	94312	15790	42196	1054	39	75	1.923076923076920	2026.923076923080000
126	8018	62622	10705	12032	1018	39	109	2.794871794871790	2845.179487179490000
127	32407	56397	12324	5470	1129	41	92	2.243902439024390	2533.365853658540000
128	14623	91215	46242	30722	983	46	65	1.413043478260870	1389.021739130430000
129	3071	101585	30966	30703	1292	40	64	1.600000000000000	2067.200000000000000
130	41181	83823	10414	8938	1356	41	45	1.097560975609760	1488.292682926830000
131	18603	63844	48471	39955	1151	58	47	0.810344827586207	932.706896551724000
132	25571	86139	22716	13871	1302	57	106	1.859649122807020	2421.263157894740000
133	5717	90617	48783	22758	976	57	84	1.473684210526320	1438.315789473680000
134	8820	103842	12284	6042	1079	43	113	2.627906976744190	2835.511627906980000
135	27290	51986	4332	27982	999	39	90	2.307692307692310	2305.384615384620000
136	30550	80826	24513	27011	1339	39	114	2.923076923076920	3914.000000000000000
137	17579	88546	6295	11377	1140	50	81	1.620000000000000	1846.800000000000000
138	32631	67731	7140	28585	1454	54	91	1.685185185185190	2450.259259259260000
139	20228	89169	24073	22035	1377	43	78	1.813953488372090	2497.813953488370000
140	25713	83744	34461	9702	1121	42	70	1.666666666666670	1868.333333333330000
141	36271	97397	8541	27927	1131	54	97	1.796296296296300	2031.611111111110000
142	46109	95927	19985	46198	1007	45	77	1.711111111111110	1723.088888888890000
143	23284	84892	23609	48671	1317	49	118	2.408163265306120	3171.551020408160000
144	22725	96726	22225	26347	1443	44	65	1.477272727272730	2131.704545454550000
